"strike","ivol"
1400,0.4731
1500,0.4434
1600,0.4202
1650,0.407
1700,0.3932
1750,0.3835
1800,0.3704
1850,0.36
1900,0.3484
1950,0.3382
2000,0.3276
2050,0.3184
2070,0.3146
2080,0.3123
2090,0.3106
2100,0.3089
2110,0.3064
2120,0.3051
2130,0.3032
2140,0.3011
2150,0.2996
2160,0.298
2170,0.2963
2180,0.2945
2190,0.2931
2200,0.2916
2210,0.29
2220,0.2883
2230,0.2866
2240,0.2847
2250,0.2828
2260,0.2808
2270,0.2806
2280,0.2784
2290,0.2762
2300,0.2756
2310,0.2748
2320,0.2723
2330,0.2712
2340,0.2686
2350,0.2674
2360,0.266
2370,0.2646
2380,0.263
2390,0.2613
2400,0.2595
2410,0.2576
2420,0.2568
2430,0.2547
2440,0.2536
2450,0.2514
2460,0.2501
2470,0.2486
2480,0.2461
2490,0.2454
2500,0.2436
2510,0.2417
2520,0.2406
2530,0.2385
2540,0.2371
2550,0.2356
2560,0.2339
2570,0.2322
2580,0.2303
2590,0.229
2600,0.2269
2610,0.2254
2620,0.2237
2630,0.2219
2640,0.22
2650,0.2186
2660,0.2164
2670,0.2147
2680,0.2129
2690,0.211
2700,0.2094
2710,0.2072
2720,0.2054
2730,0.2034
2740,0.2018
2750,0.1996
2760,0.1977
2770,0.1957
2780,0.1935
2790,0.1916
2800,0.1891
2810,0.187
2820,0.185
2830,0.183
2840,0.1807
2850,0.1787
2860,0.1761
2870,0.1741
2880,0.1719
2890,0.1696
2900,0.167
2910,0.1646
2920,0.162
2930,0.1596
2940,0.1572
2950,0.1547
2960,0.1522
2970,0.1499
2980,0.1473
2990,0.1448
3000,0.1424
3010,0.1401
3020,0.1378
3030,0.1353
3040,0.1332
3050,0.1307
3060,0.1287
3070,0.1263
3080,0.1245
3090,0.1227
3100,0.1205
3110,0.119
3120,0.1175
3130,0.1156
3140,0.1146
3150,0.1131
3160,0.1126
3170,0.1109
3180,0.1105
3190,0.1097
3200,0.1095
3210,0.109
3220,0.1091
3230,0.1088
3240,0.1089
3250,0.1089
3260,0.1091
3270,0.1089
3280,0.1092
3290,0.1093
3300,0.1097
3310,0.1103
3320,0.1108
3330,0.1111
3350,0.1126
3400,0.1153
3450,0.1175
3500,0.1221
3550,0.1244
3600,0.1277
3650,0.1311
3700,0.1344
3800,0.1411
3900,0.1478
